id,category,title,body,amenities,bathrooms,bedrooms,currency,fee,has_photo,pets_allowed,price,price_display,price_type,square_feet,address,cityname,state,latitude_deg,longitude_deg,source,time
5668629745,housing/rent/apartment,One BR 24625 Wilderness Oak,"This unit is located at 24625 Wilderness Oak, San Antonio, 78260, TXMonthly rental rates range from $975 - $1860We have one - three beds units available for rent","Dishwasher,Parking,Pool,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",975.0,$975,Monthly,615,24625 Wilderness Oak,San Antonio,TX,29.4624,-98.5253,RentLingo,2019-12-26 11:27:23
5668627517,housing/rent/apartment,One BR 4092 Tpc Pkwy,"This unit is located at 4092 Tpc Pkwy, San Antonio, 78261, TXMonthly rental rates range from $975 - $2275We have one - four beds units available for rent","Dishwasher,Elevator,Parking,Pool,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",975.0,$975,Monthly,650,4092 Tpc Parkway,San Antonio,TX,29.4624,-98.5253,RentLingo,2019-12-26 11:24:29
5668625536,housing/rent/apartment,One BR 4320 North Towne Ct,"This unit is located at 4320 North Towne Ct, Windsor, 53598, WIMonthly rental rates range from $1025 - $1775We have one - three beds units available for rent Apartment features include:-- Ac- Fitness facilities- Surface Parking- Balcony, Deck, Patio- Sheltered parking- Controlled Access- Storage- Dishwasher","Cable or Satellite,Dishwasher,Elevator,Fireplace,Garbage Disposal,Internet Access,Luxury,Parking,Patio/Deck,Playground,Refrigerator,Storage",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1025.0,"$1,025",Monthly,616,4320 North Towne Court,Windsor,WI,43.2128,-89.3435,RentLingo,2019-12-26 11:22:01
5668625042,housing/rent/apartment,Two BR 5235 Kester Ave.,"This unit is located at 5235 Kester Ave., Sherman Oaks, 91411, CAMonthly rental rates range from $2548We have 2 beds units available for rent Apartment features include:-- Surface Parking- A/c- Pool- Dishwasher- Fitness facilities","Dishwasher,Parking,Pool",2.0,2.0,USD,No,Thumbnail,"Cats,Dogs",2548.0,"$2,548",Monthly,1391,5235 Kester Avenue,Sherman Oaks,CA,34.1542,-118.4447,RentLingo,2019-12-26 11:21:28
5668624921,housing/rent/apartment,Three BR 5206 Moonlight Drive Trail Sw,"This unit is located at 5206 Moonlight Drive Trail Sw, Concord, 28025, NCMonthly rental rates range from $1299We have 3 beds units available for rent Apartment features include:-- Dishwasher- Microwave- Garbage Disposal- Refrigerator- Hardwood flooring- Overhead fans- Balcony, Deck, Patio- Central A / C","Dishwasher,Garbage Disposal,Patio/Deck,Refrigerator",2.0,3.0,USD,No,Thumbnail,"Cats,Dogs",1299.0,"$1,299",Monthly,1119,5206 Moonlight Dr Trail SW,Concord,NC,35.4047,-80.6098,RentLingo,2019-12-26 11:21:19
5668624600,housing/rent/apartment,Studio apartment 815 18th St S,"This unit is located at 815 18th St S, Arlington, 22202, VAMonthly rental rates range from $1549 - $2024We have studio - 2 beds units available for rent Apartment features include:-- On-Site Laundry- Dishwasher- Fitness facilities- Refrigerator- On Bus Line","Dishwasher,Refrigerator",1.0,2.0,USD,No,Thumbnail,"Cats,Dogs",1549.0,"$1,549",Monthly,431,815 18th St S,Arlington,VA,38.8738,-77.1055,RentLingo,2019-12-26 11:20:52
5668624330,housing/rent/apartment,Two BR 5402 Taney Ave,"This unit is located at 5402 Taney Ave, Alexandria, 22304, VAMonthly rental rates range from $1905 - $1915We have two - three beds units available for rent Apartment features include:-- Refrigerator- Carpet- Hard wood floors- Dishwasher- Trash Removal Included- In-Unit Laundry- Ac- Garbage Disposal","Cable or Satellite,Dishwasher,Garbage Disposal,Playground,Refrigerator",1.0,2.0,USD,No,Thumbnail,"Cats,Dogs",1905.0,"$1,905",Monthly,900,5402 Taney Avenue,Alexandria,VA,38.7999,-77.1072,RentLingo,2019-12-26 11:20:32
5668624242,housing/rent/apartment,Four BR 1535 W. Addison,"This unit is located at 1535 W. Addison, Chicago, 60613, ILMonthly rental rates range from $3580We have 4 beds units available for rent Apartment features include:-- On-Site Laundry- Surface Parking- Controlled Access- In-Unit Laundry- A/c- Dishwasher- On Bus Line- Water Included","Cable or Satellite,Dishwasher,Fireplace,Parking,Refrigerator",2.0,4.0,USD,No,Thumbnail,Cats,3580.0,"$3,580",Monthly,2100,1535 W Addison,Chicago,IL,41.8625,-87.6825,RentLingo,2019-12-26 11:20:26
5668623348,housing/rent/apartment,One BR 2613 E Archer St.,"This unit is located at 2613 E Archer St., Tulsa, 74110, OKMonthly rental rates range from $495We have 1 beds units available for rent Apartment features include:-- Public Transportation- Hardwood flooring- Overhead fans- Refrigerator- Porch- Freezer- Living Room- Range / Oven","Parking,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",495.0,$495,Monthly,360,2613 E Archer St,Tulsa,OK,36.116,-95.9281,RentLingo,2019-12-26 11:19:32
5668622445,housing/rent/apartment,One BR 5230 Eastwinds Dr,"This unit is located at 5230 Eastwinds Dr, Orlando, 32819, FLMonthly rental rates range from $973 - $1359We have one - two beds units available for rent Apartment features include:-- Surface Parking- Air conditioner- On-Site Laundry- Balcony, Deck, Patio- Fitness facilities- Dishwasher- Controlled Access- Storage","Cable or Satellite,Clubhouse,Dishwasher,Doorman,Garbage Disposal,Hot Tub,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,Tennis",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",973.0,$973,Monthly,509,5230 Eastwinds Drive,Orlando,FL,28.5163,-81.3644,RentLingo,2019-12-26 11:18:41
